index,spot_num,spot_nm,Latitude,Longitude,,,,,,,,,,,,,,,,,,
0,A-01,성산로(금화터널),37.56928,126.9518,,,,,,,,,,,,,,,,,,
1,A-02,사직로(사직터널),37.57299,126.9662,,,,,,,,,,,,,,,,,,
2,A-03,자하문로(자하문터널),37.58925,126.9714,,,,,,,,,,,,,,,,,,
3,A-04,대사관로(삼청터널),37.59691,126.9876,,,,,,,,,,,,,,,,,,
4,A-05,율곡로(안국역),37.57651,126.9876,,,,,,,,,,,,,,,,,,
5,A-06,창경궁로(서울여자대학교),37.5831,127.0009,,,,,,,,,,,,,,,,,,
6,A-07,대학로(한국방송통신대학교),37.57839,127.005,,,,,,,,,,,,,,,,,,
7,A-08,종로(동묘앞역),37.5737,127.0201,,,,,,,,,,,,,,,,,,
8,A-09,퇴계로(신당역),37.566,127.0238,,,,,,,,,,,,,,,,,,
9,A-10,동호로(장충체육관),37.55915,127.0101,,,,,,,,,,,,,,,,,,
10,A-11,장충단로(장충단공원),37.55729,127.0075,,,,,,,,,,,,,,,,,,
11,A-12,퇴계로(회현역),37.55806,126.9796,,,,,,,,,,,,,,,,,,
12,A-13,세종대로(서울역),37.55911,126.9772,,,,,,,,,,,,,,,,,,
13,A-14,새문안로(서울역사박물관),37.57026,126.9738,,,,,,,,,,,,,,,,,,
14,A-15,종로(종로3가역),37.57067,126.9943,,,,,,,,,,,,,,,,,,
15,A-16,서소문로(시청역),37.56323,126.9757,,,,,,,,,,,,,,,,,,
16,A-17,세종대로(시청역2),37.56813,126.9801,,,,,,,,,,,,,,,,,,
17,A-18,을지로(을지로3가역),37.56661,126.9919,,,,,,,,,,,,,,,,,,
18,A-19,칠패로(숭례문),37.56033,126.9755,,,,,,,,,,,,,,,,,,
19,A-20,남산1호터널,37.53861,127.0071,,,,,,,,,,,,,,,,,,
20,A-21,남산2호터널,37.54495,126.9927,,,,,,,,,,,,,,,,,,
21,A-22,남산3호터널,37.54506,126.9914,,,,,,,,,,,,,,,,,,
22,A-23,소월로(회현역),37.55763,126.9793,,,,,,,,,,,,,,,,,,
23,A-24,소파로(숭의여자대학교),37.55562,126.9866,,,,,,,,,,,,,,,,,,
24,B-01,도봉로(도봉산역),37.69265,127.0478,,,,,,,,,,,,,,,,,,
25,B-02,동일로(의정부IC),37.69278,127.0583,,,,,,,,,,,,,,,,,,
26,B-03,아차산로(워커힐),37.55238,127.1126,,,,,,,,,,,,,,,,,,
27,B-04,망우로(망우리공원),37.60185,127.1189,,,,,,,,,,,,,,,,,,
28,B-05,경춘북로(중랑경찰서),37.62081,127.1086,,,,,,,,,,,,,,,,,,
29,B-06,화랑로(조선왕릉),37.63128,127.1022,,,,,,,,,,,,,,,,,,
30,B-07,북부간선도로(신내IC),37.61421,127.1118,,,,,,,,,,,,,,,,,,
31,B-08,서하남로(서하남IC),37.51751,127.15,,,,,,,,,,,,,,,,,,
32,B-09,천호대로(상일IC),37.54788,127.178,,,,,,,,,,,,,,,,,,
33,B-10,올림픽대로(강일IC),37.57035,127.1602,,,,,,,,,,,,,,,,,,
34,B-11,경부고속도로(양재IC),37.46553,127.0415,,,,,,,,,,,,,,,,,,
35,B-12,송파대로(복정역),37.46957,127.1291,,,,,,,,,,,,,,,,,,
36,B-13,밤고개로(세곡동사거리),37.46313,127.1106,,,,,,,,,,,,,,,,,,
37,B-14,분당-수서로(성남시계),37.47185,127.1257,,,,,,,,,,,,,,,,,,
38,B-15,과천대로(남태령역),37.46398,126.9915,,,,,,,,,,,,,,,,,,
39,B-16,양재대로(양재IC),37.46069,127.0379,,,,,,,,,,,,,,,,,,
40,B-17,반포대로(우면산터널),37.48427,127.0143,,,,,,,,,,,,,,,,,,
41,B-18,시흥대로(석수역),37.4355,126.9064,,,,,,,,,,,,,,,,,,
42,B-19,금오로(광명시계),37.48331,126.8447,,,,,,,,,,,,,,,,,,
43,B-20,오리로(광명시계),37.4832,126.8458,,,,,,,,,,,,,,,,,,
44,B-21,개봉로(개봉교),37.48717,126.8593,,,,,,,,,,,,,,,,,,
45,B-22,광명대교(광명시계),37.48551,126.8762,,,,,,,,,,,,,,,,,,
46,B-23,철산교(광명시계),37.47498,126.8813,,,,,,,,,,,,,,,,,,
47,B-24,금천교(광명시계),37.46516,126.8873,,,,,,,,,,,,,,,,,,
48,B-25,금하로(광명시계),37.45189,126.8946,,,,,,,,,,,,,,,,,,
49,B-26,오정로(부천시계),37.54318,126.8123,,,,,,,,,,,,,,,,,,
50,B-27,화곡로(화곡로입구),37.53983,126.8272,,,,,,,,,,,,,,,,,,
51,B-28,경인고속국도(신월IC),37.52566,126.8352,,,,,,,,,,,,,,,,,,
52,B-29,경인로(유한공고),37.48924,126.8255,,,,,,,,,,,,,,,,,,
53,B-30,신정로(작동터널),37.50669,126.827,,,,,,,,,,,,,,,,,,
54,B-31,김포대로(개화교),37.58605,126.7987,,,,,,,,,,,,,,,,,,
55,B-32,올림픽대로(개화IC),37.58838,126.8159,,,,,,,,,,,,,,,,,,
56,B-33,통일로(고양시계),37.6474,126.9096,,,,,,,,,,,,,,,,,,
57,B-34,서오릉로(고양시계),37.61844,126.9089,,,,,,,,,,,,,,,,,,
58,B-35,수색로(고양시계),37.58829,126.8893,,,,,,,,,,,,,,,,,,
59,B-36,강변북로(난지한강공원),37.57141,126.8754,,,,,,,,,,,,,,,,,,
60,B-37,강변북로(구리시계),37.56393,127.1202,,,,,,,,,,,,,,,,,,
61,C-01,행주대교,37.59836,126.8126,,,,,,,,,,,,,,,,,,
62,C-02,방화대교,37.58907,126.8299,,,,,,,,,,,,,,,,,,
63,C-03,가양대교,37.56874,126.8629,,,,,,,,,,,,,,,,,,
64,C-04,성산대교,37.55262,126.8941,,,,,,,,,,,,,,,,,,
65,C-05,양화대교,37.54385,126.9068,,,,,,,,,,,,,,,,,,
66,C-06,서강대교,37.53789,126.9282,,,,,,,,,,,,,,,,,,
67,C-07,마포대교,37.53414,126.9393,,,,,,,,,,,,,,,,,,
68,C-08,원효대교,37.52731,126.9482,,,,,,,,,,,,,,,,,,
69,C-09,한강대교,37.51857,126.962,,,,,,,,,,,,,,,,,,
70,C-10,동작대교,37.51012,126.9845,,,,,,,,,,,,,,,,,,
71,C-11,반포대교,37.51525,126.9992,,,,,,,,,,,,,,,,,,
72,C-12,잠수교,37.50816,127.0029,,,,,,,,,,,,,,,,,,
73,C-13,한남대교,37.52747,127.0159,,,,,,,,,,,,,,,,,,
74,C-14,동호대교,37.53876,127.0224,,,,,,,,,,,,,,,,,,
75,C-15,성수대교,37.53742,127.0378,,,,,,,,,,,,,,,,,,
76,C-16,영동대교,37.53086,127.0603,,,,,,,,,,,,,,,,,,
77,C-17,청담대교,37.52598,127.0669,,,,,,,,,,,,,,,,,,
78,C-18,잠실대교,37.5246,127.0946,,,,,,,,,,,,,,,,,,
79,C-19,올림픽대교,37.53435,127.1069,,,,,,,,,,,,,,,,,,
80,C-20,천호대교,37.54322,127.1156,,,,,,,,,,,,,,,,,,
