행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(초/100),위도(초/100)
kor,국문행정구역,,,0,0,,
1100000000,서울특별시,,,60,127,126.98 ,37.56 
1111000000,서울특별시,종로구,,60,127,126.98 ,37.57 
1111051500,서울특별시,종로구,청운효자동,60,127,126.97 ,37.58 
1111053000,서울특별시,종로구,사직동,60,127,126.97 ,37.57 
1111054000,서울특별시,종로구,삼청동,60,127,126.98 ,37.58 
1111055000,서울특별시,종로구,부암동,60,127,126.97 ,37.59 
1111056000,서울특별시,종로구,평창동,60,127,126.97 ,37.60 
1111057000,서울특별시,종로구,무악동,60,127,126.96 ,37.57 
1111058000,서울특별시,종로구,교남동,60,127,126.96 ,37.57 
1111060000,서울특별시,종로구,가회동,60,127,126.99 ,37.58 
1111061500,서울특별시,종로구,종로1.2.3.4가동,60,127,126.99 ,37.57 
1111063000,서울특별시,종로구,종로5.6가동,60,127,127.01 ,37.57 
1111064000,서울특별시,종로구,이화동,60,127,127.01 ,37.57 
1111065000,서울특별시,종로구,혜화동,60,127,127.00 ,37.58 
1111067000,서울특별시,종로구,창신제1동,61,127,127.02 ,37.57 
1111068000,서울특별시,종로구,창신제2동,60,127,127.01 ,37.57 
1111069000,서울특별시,종로구,창신제3동,60,127,127.02 ,37.58 
1111070000,서울특별시,종로구,숭인제1동,60,127,127.02 ,37.58 
1111071000,서울특별시,종로구,숭인제2동,61,127,127.02 ,37.57 
1114000000,서울특별시,중구,,60,127,127.00 ,37.56 
1114052000,서울특별시,중구,소공동,60,127,126.98 ,37.56 
1114054000,서울특별시,중구,회현동,60,126,126.98 ,37.55 
1114055000,서울특별시,중구,명동,60,127,126.99 ,37.56 
1114057000,서울특별시,중구,필동,60,127,127.00 ,37.56 
1114058000,서울특별시,중구,장충동,60,127,127.01 ,37.56 
1114059000,서울특별시,중구,광희동,60,127,127.01 ,37.56 
1114060500,서울특별시,중구,을지로동,60,127,126.99 ,37.56 
1114061500,서울특별시,중구,신당동,60,127,127.01 ,37.56 
1114062500,서울특별시,중구,다산동,60,126,127.01 ,37.55 
1114063500,서울특별시,중구,약수동,60,126,127.01 ,37.55 
1114064500,서울특별시,중구,청구동,60,127,127.01 ,37.56 
1114065000,서울특별시,중구,신당제5동,61,127,127.02 ,37.56 
1114066500,서울특별시,중구,동화동,61,127,127.02 ,37.56 
1114067000,서울특별시,중구,황학동,61,127,127.02 ,37.56 
1114068000,서울특별시,중구,중림동,60,126,126.97 ,37.55 
1117000000,서울특별시,용산구,,60,126,126.97 ,37.54 
1117051000,서울특별시,용산구,후암동,60,126,126.98 ,37.55 
1117052000,서울특별시,용산구,용산2가동,60,126,126.99 ,37.54 
1117053000,서울특별시,용산구,남영동,60,126,126.98 ,37.54 
1117055500,서울특별시,용산구,청파동,60,126,126.97 ,37.54 
1117056000,서울특별시,용산구,원효로제1동,60,126,126.97 ,37.54 
1117057000,서울특별시,용산구,원효로제2동,59,126,126.95 ,37.53 
1117058000,서울특별시,용산구,효창동,60,126,126.96 ,37.54 
1117059000,서울특별시,용산구,용문동,60,126,126.96 ,37.54 
1117062500,서울특별시,용산구,한강로동,60,126,126.97 ,37.53 
1117063000,서울특별시,용산구,이촌제1동,60,126,126.98 ,37.52 
1117064000,서울특별시,용산구,이촌제2동,59,126,126.96 ,37.52 
1117065000,서울특별시,용산구,이태원제1동,60,126,127.00 ,37.53 
1117066000,서울특별시,용산구,이태원제2동,60,126,126.99 ,37.54 
1117068500,서울특별시,용산구,한남동,60,126,127.00 ,37.53 
1117069000,서울특별시,용산구,서빙고동,60,126,127.00 ,37.52 
