,station_cd,fr_code,station_nm,line_num
0,0201,201,시청,02호선
1,0151,132,시청,01호선
0,0152,131,종각,01호선
0,0319,329,종로3가,03호선
1,2535,534,종로3가,05호선
2,0153,130,종로3가,01호선
0,0154,129,종로5가,01호선
0,0421,421,동대문,04호선
1,0155,128,동대문,01호선
0,0246,211-4,신설동,02호선
1,4713,953,신설동,우이신설경전철
2,0156,126,신설동,01호선
0,0157,125,제기동,01호선
0,2637,636,동묘앞,06호선
1,0159,127,동묘앞,01호선
0,0202,202,을지로입구,02호선
0,0203,203,을지로3가,02호선
1,0320,330,을지로3가,03호선
0,0204,204,을지로4가,02호선
1,2536,535,을지로4가,05호선
0,0205,205,동대문역사문화공원,02호선
1,0422,422,동대문역사문화공원,04호선
2,2537,536,동대문역사문화공원,05호선
0,0206,206,신당,02호선
1,2636,635,신당,06호선
0,0207,207,상왕십리,02호선
0,0209,209,한양대,02호선
0,0210,210,뚝섬,02호선
0,0211,211,성수,02호선
0,0212,212,건대입구,02호선
1,2729,727,건대입구,07호선
0,0215,215,잠실나루,02호선
0,0217,217,잠실새내,02호선
0,0218,218,종합운동장,02호선
1,4130,930,종합운동장,09호선
0,0220,220,선릉,02호선
1,1023,K215,선릉,분당선
0,0221,221,역삼,02호선
0,0222,222,강남,02호선
1,4307,D7,강남,신분당선
0,0224,224,서초,02호선
0,0225,225,방배,02호선
0,0226,226,사당,02호선
1,0433,433,사당,04호선
0,0227,227,낙성대,02호선
0,0229,229,봉천,02호선
0,0230,230,신림,02호선
0,0231,231,신대방,02호선
0,0232,232,구로디지털단지,02호선
0,0234,234,신도림,02호선
1,1007,140,신도림,01호선
0,0235,235,문래,02호선
0,0236,236,영등포구청,02호선
1,2524,523,영등포구청,05호선
0,0237,237,당산,02호선
1,4113,913,당산,09호선
0,0238,238,합정,02호선
1,2623,622,합정,06호선
0,0239,239,홍대입구,02호선
1,1264,K314,홍대입구,경의선
2,4203,A03,홍대입구,공항철도
0,0240,240,신촌,02호선
1,1252,P312,신촌,경의선
0,0241,241,이대,02호선
0,0242,242,아현,02호선
0,0244,211-1,용답,02호선
0,0245,211-2,신답,02호선
0,0247,234-1,도림천,02호선
0,0248,234-2,양천구청,02호선
0,0249,234-3,신정네거리,02호선
0,0309,319,지축,03호선
0,0310,320,구파발,03호선
0,0311,321,연신내,03호선
1,2615,614,연신내,06호선
0,0312,322,불광,03호선
1,2613,612,불광,06호선
0,0313,323,녹번,03호선
0,0314,324,홍제,03호선
0,0315,325,무악재,03호선
0,0316,326,독립문,03호선
0,0318,328,안국,03호선
0,0322,332,동대입구,03호선
0,0323,333,약수,03호선
1,2634,633,약수,06호선
0,0324,334,금호,03호선
0,0325,335,옥수,03호선
1,1011,K114,옥수,경의선
0,0326,336,압구정,03호선
